matchId,champion,kills,deaths,assists,damage,gold,win
EUW1_7559534087,Xerath,4,12,7,19419,9309,False
EUW1_7561782052,Swain,8,11,11,29337,14331,False
EUW1_7563438041,Darius,7,9,5,35082,15503,True
EUW1_7563482867,Zilean,1,7,4,10445,10750,False
EUW1_7563521889,MonkeyKing,1,8,1,4449,6250,False
EUW1_7563796837,XinZhao,14,7,1,57794,19750,True
EUW1_7563812728,Jhin,10,8,2,24205,12125,True
EUW1_7563822902,DrMundo,12,6,11,107993,18250,True
EUW1_7563830358,Cassiopeia,5,6,2,19128,7000,False
EUW1_7564161906,Ezreal,2,6,3,22738,7325,False
